Item,Specific part,Unit Price (inr),Quantity,Total Price ₹,Total Price $,URL,Running Total ₹,Running Total $
Balls,Polypropylene Balls,₹5.00,110,₹550.00,$5.80,https://dir.indiamart.com/impcat/polypropylene-balls.html,₹550.00,$5.80
Rollers,50cm Aluminium rollers,₹306.00,10,"₹3,060.00",$32.27,https://www.amazon.in/Zaymircozy-Smooth-Printer-Robotics-Projects/dp/B0FH2KFWB4/ref=sr_1_1?crid=1D7NELO6CF0YH&dib=eyJ2IjoiMSJ9.c4L75VlylNFit3jmEa-eyQS7z60nxaDwS2bd5omQC_Xs0b8SHYktsCY89BLnWQkdbeI63BOTizy0DIakuKf7L7i4z-WKpDm7BW0bRJZDMVEOKkWAmOeyGsrgUmQzLQNz5zIEQDe9fUBOeAdQL13zTA.mxdXKDbGtd0etD38PiINGvbteerS3nsYuP7grgqp8ZY&dib_tag=se&keywords=aluminium+rods+50+cm+back+of+20&qid=1786555699&refinements=p_36%3A-63000&rnid=1318502031&s=industrial&sprefix=aluminium+rods+50+cm+back+of+20%2Cindustrial%2C232&sr=1-1,"₹3,610.00",$38.07
"Mosfets, Schottky diodes, Resistors",Alr have,₹0.00,10,₹0.00,$0.00,,"₹3,610.00",$38.07
Motors,NEMA 13 STEPPER (already have from ender),₹0.00,4,₹0.00,$0.00,,"₹3,610.00",$38.07
Motor driver,A4988 motor driver with heat sink,₹699.00,1,₹699.00,$7.37,https://www.amazon.in/TESTIN-ELECTRONICS-Stepper-Heatsink-Printer/dp/B0GGTFJJT7,"₹4,309.00",$45.44
Pumps,6V to 12V Mini,₹89.00,23,"₹2,047.00",$21.59,https://quartzcomponents.com/products/12v-dc-1-2l-min-mini-vacuum-pump?srsltid=AfmBOoq1d-z9DCiYFECv1LNLPBb3ClF3fsWmVBt2qGRkRinZDS05aquH,"₹6,356.00",$67.03
Pressure Sensor,BMP280,₹34.00,25,₹850.00,$8.96,https://www.flyrobo.in/bmp280-barometric-pressure-and-altitude-sensor-i2c-spi-module?srsltid=AfmBOopaK0VeQkgpDOZl1-qdyk8WUkgL2_zQ5x4lKVd9bb6Lktvidx93,"₹7,206.00",$76.00
LED,50W 32V Natural White SMD COB LED,₹699.00,1,₹699.00,$7.37,https://probots.co.in/50w-32v-natural-white-smd-cob-led-rectangle-light.html,"₹7,905.00",$83.37
Cooler,Cooler Master i30 CPU Cooler,₹655.00,1,₹655.00,$6.91,https://www.amazon.in/Cooler-Master-i30-CPU-Aluminum/dp/B09V4PN9MX?source=ps-sl-shoppingads-lpcontext&smid=A1A1JBOUJEFFNA&th=1,"₹8,560.00",$90.28
Condensor Lens,High Power LED 20-100W Lens,₹300.00,1,₹300.00,$3.16,https://roboman.in/product/high-power-led-20-100w-lamp-bead-lens-44mm-optical-glass-lens-50-mm-reflective-collimator-fixed-bracket-60-120-degree-led-lens/,"₹8,860.00",$93.44
Collector Lens,Convex Lens F20 D100,₹300.00,1,₹300.00,$3.16,https://www.amazon.in/ERH-India-Magnifier-Convex-Length/dp/B09BNTC9F5?source=ps-sl-shoppingads-lpcontext&psc=1&smid=A1KKHARUWH0JG,"₹9,160.00",$96.61
